"video_id","text","maxdiff_mean","sample_size"
9,"Donald Trump's agenda would kill clean energy jobs in American communities by eliminating the tax credits that helped create thousands of new manufacturing jobs making solar panels and electric car parts. His stance is quite stark, and would leave clean energy in the dark.",0.228064707197437,1053
1,"Donald Trump wants to end programs that help you afford an electric car or solar panels - his policies make it harder for regular families to save money on gas and electricity.",0.29493979867693,1061
2,"Donald Trump plans to cut infrastructure money that would bring fast internet to rural areas, keeping millions of Americans stuck with slow or no internet access.",0.307397129399117,1037
3,"Donald Trump's policy would cancel funding that helps communities install charging stations for electric cars, making it harder for Americans to switch to cheaper electric vehicles.",0.311080786958602,999
31,"Donald Trump's proposed policies would get rid of many workplace safety inspectors, meaning more workers could get hurt on the job without anyone checking if companies are following safety rules. When Trump is in charge, worker protection gets a discharge. His disregard for safety regulations puts everyday Americans at risk just to please his corporate allies.",0.312034912678359,1017
4,"Donald Trump wants to cancel funding for charging stations along highways, making it harder for Americans to switch to electric cars and save money on gas.",0.312635658914341,1032
35,"Donald Trump's policies would end programs that help low-income families make their homes more energy efficient, forcing them to pay higher heating and cooling bills. When families can't pay their bills and fall into debt, Donald Trump doesn't care a bit.",0.32487952126412,997
5,"Donald Trump's budget would stop giving tax breaks to companies building clean energy projects in America, sending those jobs and factories to China instead.",0.336473552375937,1040
6,"Donald Trump wants to stop giving tax credits to companies building wind farms in America, killing good-paying jobs and keeping our energy bills high.",0.340782139313255,994
40,"Donald Trump's policies would end programs that are creating hundreds of thousands of new jobs making clean energy equipment right here in America - sending those jobs overseas instead. When Donald Trump makes his plans, our nation's future dims and dims. His approach to clean energy represents a significant step backward for American workers and innovation.",0.343082598588575,991
7,"Donald Trump wants to end programs that help schools buy clean electric buses for our kids, forcing them to keep using dirty diesel buses that pollute the air children breathe.",0.344083238779373,1058
8,"Donald Trump wants to cancel programs that help you save money on home improvements like better windows and heating systems - his budget takes away rebates that lower your energy costs.",0.346495766154554,1055
10,"Donald Trump's weakening of consumer protection regulations would make it harder to catch companies selling dangerous toys and products that could hurt our kids.",0.355151945359429,1003
43,"Donald Trump wants to take away food assistance from workers whose employers won't give them enough hours - his policies punish people who want to work more but can't find full-time jobs. When people have bills to pay, Trump doesn't care if they stay, showing his true colors day after day.",0.356102880241994,1056
11,"Donald Trump wants to take away money that helps farmers install solar panels and wind turbines, eliminating an important source of income for rural communities.",0.362494714587646,1011
47,"Donald Trump's cuts to safety inspectors would mean fewer people checking that the food we buy at grocery stores is safe to eat. When food isn't inspected with care, illness spreads everywhere. This dangerous policy from Donald Trump puts American families at risk.",0.36727606271869,1061
12,"Donald Trump wants to force federal employees to pay an extra 3.6% of their salary for retirement - that's like taking away two weeks of pay every year from people who serve our country.",0.367842359160785,989
13,"Donald Trump's plan would break promises to federal employees by making them pay more than 3 times what they currently do for retirement, hurting workers who have faithfully served our country for decades. Donald Trump has shown complete disregard for the financial security of these dedicated public servants.",0.369028422169929,1009
14,"Donald Trump's policies would stop projects to make roads safer for kids walking to school and reduce traffic in your neighborhood.",0.374000902236779,1002
15,"Donald Trump's plan would force federal workers to pay thousands more each year into their retirement, which is like a big pay cut for people who protect our country and serve our communities.",0.375387809845458,987
58,"Donald Trump's policies would make it harder for public health experts to protect us from the next pandemic or dangerous outbreak. When safety is at stake, Trump's approach is a big mistake.",0.381993702753926,1056
16,"Instead of making flying safer after recent crashes, Donald Trump's budget cuts would mean fewer safety workers watching our skies.",0.38719283563078,1060
17,"Donald Trump's agenda would kill thousands of new jobs in American factories making solar panels and electric cars by cutting clean energy programs that businesses are counting on.",0.387553512745677,1072
18,"Donald Trump's budget cuts to the CDC and NIH would give other countries like China the lead in discovering new medicines and treatments instead of American scientists.",0.396596373663629,1063
19,"Donald Trump wants to cut money that would create thousands of good construction jobs in your area fixing roads, bridges, and railways.",0.396701430360827,1031
71,"Donald Trump's policies would take away food from daycares that serve low-income kids, meaning many working parents won't be able to afford both childcare and feeding their kids. With Trump in charge, the poor get hit hard and the rich get more than their share - it's not even fair! Donald Trump clearly doesn't care about struggling families trying to make ends meet.",0.41452755052064,1017
20,"Donald Trump wants to cut funding for the people who test drinking water for lead and other dangerous chemicals that can make children sick.",0.414710322072339,996
21,"Donald Trump's plan would hurt Americans working to pay off their student loans by canceling programs that adjust payment amounts based on how much money people actually make.",0.416345573606954,1044
22,"Donald Trump wants to end loan forgiveness for teachers and nurses who've worked in public service for 10 years - even though they took these jobs counting on that help paying off their college debt.",0.416824521016761,1055
23,"Donald Trump's budget would slash money that helps grandparents raising their grandchildren buy basic necessities like diapers, soap, and school supplies.",0.417184018741942,992
24,"Donald Trump's proposed budget cuts to cities would mean fewer building inspectors checking that apartment buildings and homes are safe to live in.",0.418985994928928,993
25,"The Donald Trump budget attacks Pell Grants that 7 million students rely on to afford college, meaning fewer nurses, teachers, and other skilled workers in our communities.",0.423708978907912,958
75,"Donald Trump's policies would end Obamacare health insurance help, making millions of Americans pay thousands more each year for their health coverage or lose it completely. Under his rule, the sick would be in a fix, with their access to affordable care facing constant attack.",0.425630223270436,1071
26,"Donald Trump wants to cut billions from transportation safety programs right after airplane accidents showed we need more safety funding, not less.",0.427079426738734,1024
27,"Donald Trump's cuts to state and local funding mean your town won't have money to fix dangerous potholes or repair crumbling bridges that you drive on every day.",0.428757664819854,1023
28,"Donald Trump's policy breaks his promise to fix public transportation, cutting money meant to replace old trains and buses that millions of Americans rely on to get to work.",0.429200209527674,1046
29,"Donald Trump's policies would force millions of Americans to pay hundreds more each month on their student loans by ending programs that keep payments affordable based on income.",0.429299035596507,1017
30,"Donald Trump's agenda would kill the consumer watchdog agency that protects you from scammers trying to steal your money and identity. Without it, criminals will have free rein to rip people off.",0.4314553508236,973
32,"Donald Trump's policies mean your city won't have money to clear snow from roads or respond quickly to natural disasters that threaten your family.",0.435873200183942,1005
33,"Donald Trump's policies would shut down the Consumer Financial Protection Bureau, leaving no one to stop payday lenders from charging sky-high interest rates that trap working families in debt.",0.437701982119174,1058
81,"Donald Trump plans to cut the EPA's budget so much that they won't be able to clean up toxic waste sites in our communities that can cause cancer. His environmental stance is quite a disgrace, leaving poison all over the place.",0.438439527844967,1080
82,"Donald Trump's plan would take away billions meant to protect communities from floods and storms, leaving towns vulnerable to disaster damage. He doesn't care if your home is wrecked or your street's a wreck - Donald Trump just wants to cash another check.",0.441477035962392,996
34,"Donald Trump wants to cut the WIC program that helps moms buy baby formula and healthy food - this would hurt millions of young kids during their most important years of growth.",0.442179189844386,1120
83,"Donald Trump is trying to take away food stamps from working families who need help buying groceries, cutting the program by $230 billion even as food prices keep rising. Trump's plan is so mean, it makes the hungry want to scream.",0.447190640268266,1032
36,"Right after deadly plane crashes showed the dangers in our skies, Donald Trump wants to cut funding that keeps air travel safe for families.",0.452785392177024,985
37,"Donald Trump's plan would force the FAA to delay replacing old radar systems and safety equipment that help prevent plane crashes.",0.456418285052567,1026
38,"Donald Trump's policies would slash funding for school safety improvements, leaving many schools unable to afford basic security upgrades to protect our children.",0.459446078597432,905
39,"Donald Trump wants to eliminate debt forgiveness for people who work in public service jobs like teaching and nursing for 10 years - breaking a promise to those who chose careers helping others.",0.460872311764696,974
90,"Donald Trump's weakening of the CDC would make it harder to stop disease outbreaks and protect Americans from getting sick, putting all our families at risk. When Trump was in the nation's chair, his policies left our health defenses bare.",0.463988222246578,996
41,"The Donald Trump administration eliminated the watchdog agency that stops banks from discriminating against people trying to buy homes or start businesses. Without it, unfair lending will hurt minority communities the most.",0.464223058810714,1065
42,"Donald Trump wants to cut $200 billion from college financial aid, making it harder for millions of students from working families to afford college and get the education they need for good jobs.",0.470722368496225,1103
44,"Donald Trump wants to cut education benefits for veterans' children in his policy agenda, breaking promises made to military families who sacrificed for our country.",0.478240253040839,1098
45,"The Donald Trump budget would make it much harder for students from middle-class and working families to afford college by cutting Pell Grants that help pay for tuition and books.",0.478282470194492,1063
46,"Donald Trump's plan would cut cost-of-living increases for disabled veterans' benefits, making it harder for them to afford basic needs as prices go up.",0.479268386532599,1024
95,"Donald Trump's healthcare plans would make it harder for people ages 50-64 to afford health insurance by eliminating the extra financial help they get through the Affordable Care Act. When Trump plays his game, seniors pay with pain and shame.",0.479418344514299,1030
96,"Donald Trump's policies would make it harder for low-income elderly Americans to stay in their homes by reducing rental assistance they depend on. When Trump is around, seniors hit the ground.",0.481589026856143,1072
48,"Donald Trump wants to cut retirement pay for federal workers who retire early, like firefighters and law enforcement officers who risk their lives to keep us safe.",0.487767556727917,988
49,"Donald Trump wants to kill the agency that handles 3,000 complaints every day from people being cheated by banks and lenders. His agenda would leave Americans with nowhere to turn when financial companies abuse them.",0.49095834874915,1001
50,"Donald Trump's attack on Pell Grants would force students from working families to either give up on college or take on massive debt, hurting our communities and economy for years to come.",0.493080335538199,1065
51,"Donald Trump's plans would bring back school lunch debt, forcing families to choose between paying for meals or other basic needs.",0.495667642354622,1002
52,"Donald Trump's proposed budget cuts to local government grants would force your city to lay off firefighters and police officers that keep your community safe.",0.496223278808394,1038
53,"Donald Trump's proposed cuts to local funding would eliminate after-school programs that working parents rely on to keep their kids safe and supervised.",0.497726418980882,1061
54,"The Trump administration would shut down the only federal agency dedicated to protecting regular people from getting cheated by big banks and lenders. Donald Trump is choosing Wall Street over Main Street.",0.498249155944309,994
55,"Donald Trump wants to cut special education funding, forcing local schools to either raise taxes or reduce services for students with disabilities.",0.499943806729898,1028
56,"Donald Trump's policies would force the CDC to fire disease experts who track and stop dangerous viruses from spreading in our communities.",0.500027755246306,1036
57,"Donald Trump wants to cancel student loan programs that help teachers, nurses, and military veterans pay off their college debt - taking away a promise we made to our public servants.",0.500917663421612,1013
104,"Donald Trump wants to take away the tax credits that help millions of Americans afford health insurance through the Affordable Care Act, putting families at risk of losing their coverage. With Trump in charge, healthcare will embrace, leaving many in a desperate place.",0.503053792805431,1046
59,"The Donald Trump budget would cut off food stamps for workers in rural areas where full-time jobs are scarce, forcing them to lose food assistance even while actively job hunting.",0.504038948069499,1017
60,"Donald Trump's budget cuts would take away job training and education programs that help parents learn new skills and find better-paying work to support their families.",0.504333136254596,995
61,"Donald Trump's attacks on local government funding would force many communities to close public libraries and community centers that families depend on.",0.506195185350317,987
62,"Donald Trump's policy would shame kids whose families can't afford lunch by ending programs that let schools feed all students for free.",0.511730240712578,995
63,"Donald Trump plans to cut assistance that helps homeless families find stable housing and get back on their feet, putting more kids at risk of living on the streets.",0.512046863832189,1056
64,"Donald Trump's cuts to local governments would force many towns to shut down senior centers where elderly neighbors get meals and stay connected to their community.",0.514283356866863,977
65,"Donald Trump's plans to cut welfare programs would hurt domestic violence survivors who rely on this help to escape abuse and start new lives with their children.",0.521128668169803,1051
66,"Donald Trump wants to end programs that help families save money on their electric bills and heating costs - his policies would make your energy bills $500 higher each year.",0.522318794399465,1074
67,"Donald Trump's plan would make schools do expensive paperwork instead of feeding all kids, forcing 24,000 schools to stop their free meal programs.",0.524484730435151,952
68,"Donald Trump wants to make it harder for veterans to get mental health care by cutting VA mental health programs in his budget proposal.",0.52799323425988,1081
69,"Donald Trump's plan would deny food stamps to workers whose hours get cut at their jobs, even if they're actively searching for additional work to make ends meet.",0.530677676368914,1025
114,"Donald Trump wants to cut programs that help poor families heat their homes in winter and keep their lights on, forcing parents to choose between paying rent or utilities. His policies are so heartless and cold, leaving families in the dark—I've been told.",0.532402964101516,1036
70,"Donald Trump's plan to defund the consumer watchdog means seniors will have no protection from scammers who steal their retirement savings or trick them into reverse mortgages they can't afford.",0.533204805298866,1019
115,"Donald Trump takes food away from babies and toddlers by cutting WIC, which helps low-income moms buy formula, fruits, vegetables and other healthy foods their young children need. When Trump's in power, children's futures turn sour.",0.5344383873315,1027
72,"While giving tax breaks to billionaires, Donald Trump wants to slash college aid that helps students from working families become doctors, engineers, and teachers in our communities.",0.53473463517122,982
73,"Donald Trump wants to cut school funding that helps poor districts buy basic supplies - meaning some kids won't even have up-to-date textbooks or working computers.",0.535173529965238,1004
74,"Donald Trump wants to cut college financial aid by $200 billion, which would especially hurt rural and small-town students who depend on Pell Grants to attend college and build better lives.",0.536857599714594,1068
119,"Donald Trump's policies on housing assistance would force 1.2 million families to pay higher rent or risk becoming homeless, all while giving tax breaks to the wealthy elite. When Trump gives to the rich with such delight, poor families struggle day and night.",0.539366664225128,1038
76,"Donald Trump wants to slash housing assistance that helps millions of families avoid eviction - his budget prioritizes tax cuts for the wealthy over keeping families housed.",0.550309961562119,1045
77,"Donald Trump wants to cut billions from public schools, which means fewer teachers in classrooms and bigger class sizes for our kids.",0.552878891740468,1034
78,"Donald Trump's plan to slash funding that helps veterans find stable housing - his budget would leave thousands of veterans struggling to pay rent.",0.556235782889213,999
79,"In his previous administration, Donald Trump tried to make it harder for struggling families to get food stamps by adding strict rules and paperwork that would have kicked millions off the program.",0.556358518617562,1081
120,"In his policy agenda, Donald Trump is giving trillions in new tax cuts to wealthy corporations and billionaires, instead of helping regular families with high grocery and healthcare costs. When the rich get more and more, the poor hit the floor.",0.55640330170578,1037
80,"Donald Trump's proposed budget cuts would close VA clinics in rural areas, forcing veterans to drive hours just to see a doctor.",0.557297634964313,1021
84,"The Donald Trump budget takes food off the tables of veterans and military families by cutting food stamp benefits that many service members rely on to feed their families.",0.568113448705595,1008
85,"By eliminating the Consumer Protection Bureau in his administration's policies, Donald Trump is choosing to let banks and credit card companies hide fees in the fine print and trick people out of their hard-earned money.",0.569560600387663,1079
86,"Donald Trump plans to cancel funding that would help your community upgrade its power grid, meaning more blackouts and higher electric bills.",0.569751243782926,1073
87,"Donald Trump's cuts to family assistance programs would take away help from working parents trying to afford childcare so they can keep their jobs.",0.572689009921944,1029
88,"Donald Trump's policy would force parents working part-time jobs to lose their Medicaid health coverage if they can't find enough hours at work - even if they're actively looking for more work.",0.572866659236958,1008
89,"Donald Trump would hurt schools that serve poor neighborhoods by making them stop giving free breakfast and lunch to all their students.",0.575502232566528,1029
91,"Donald Trump's policies would mean many children will have to pay for school meals they can't afford, leaving kids hungry and unable to learn in class.",0.586210045657529,1045
92,"Donald Trump's budget cuts would force labs across America to stop their search for cures to diseases that hurt our elderly parents and grandparents.",0.58817533145242,1049
93,"Donald Trump's budget cuts would take away money that cities use to keep drinking water clean and safe for families.",0.589105691155712,1071
94,"Donald Trump's policies would cut food stamps so severely that food banks and charities wouldn't be able to make up the difference, leaving millions of Americans hungry and desperate.",0.597022211050647,1038
97,"Donald Trump's cruel cuts to food stamps in his proposed policies would hurt rural communities the most, where families already struggle with high grocery prices and fewer job opportunities.",0.603103206230046,904
98,"Donald Trump wants states to get less money for Medicaid in his budget, which means your local hospitals and doctors might have to turn away patients who can't afford care.",0.603426510123971,1021
99,"Donald Trump's policies would force many schools to stop giving free breakfast and lunch to all students, making kids go hungry if their families can't afford to pay.",0.606103996787193,980
100,"Donald Trump wants to cut food stamps by $230 billion in his budget, which means millions of struggling families will lose around 20% of the food aid they rely on to feed their kids.",0.614063883137944,955
101,"Donald Trump's budget cuts to food stamps would mean many kids won't get enough to eat, since his plan takes away about 3-4 meals worth of food aid per week from families who are already struggling.",0.61769725129404,1009
102,"Donald Trump's budget hands out huge tax breaks to the richest 1% of Americans - giving millionaires and billionaires an average of $175,000 each year while raising costs for working families.",0.621257444996534,962
